Order Reference,Vendor Reference,External ID,,Deliver To,Promised Date,Order Deadline,Vendor,Vendor CIF,SKU,Items Name,Order Lines / Quantity,Order Lines / Product / External ID,Order Lines / Custom Description,Unit Price
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400095,RHIPSALIS T12 LARGO - planta/39,8,__export__.product_product_6874_1e33f388,"SKU: 8400095
Item: RHIPSALIS T12 LARGO - planta/39 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400895,RHIPSALIS MIX - T17 planta colganta,6,__export__.product_product_7061_eeb411fb,"SKU: 8400895
Item: RHIPSALIS MIX - T17 planta colganta ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400518,RANUNCULUS - Butterfly - flor,80,__export__.product_product_7368_cf933e13,"SKU: 8400518
Item: RANUNCULUS - Butterfly - flor ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400980,ROSA SPRAY KEIJSERS - flor,60,__export__.product_product_7742_1e370670,"SKU: 8400980
Item: ROSA SPRAY KEIJSERS - flor ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400503,RS ROSA - Pink Athena,80,__export__.product_product_7601_ff44d2be,"SKU: 8400503
Item: RS ROSA - Pink Athena ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8401005,RHIPSALIS MIX - planta/18,6,__export__.product_product_10_1d32eb89,"SKU: 8401005
Item: RHIPSALIS MIX - planta/18 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400771,SAINPAULIA (VIOLETA) - planta/16,4,__export__.product_product_7076_a3e37b3c,"SKU: 8400771
Item: SAINPAULIA (VIOLETA) - planta/16 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400980,ROSA SPRAY KEIJSERS - flor,72,__export__.product_product_7742_1e370670,"SKU: 8400980
Item: ROSA SPRAY KEIJSERS - flor ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400401,ANEMONA - flor,100,__export__.product_product_7270_ade894d3,"SKU: 8400401
Item: ANEMONA - flor ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8401003,KALANCHOE OTHER - planta/23,10,__export__.product_product_10_1d32eb89,"SKU: 8401003
Item: KALANCHOE OTHER - planta/23 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400547,EUPHORBIA -Tirucalli - planta/24,2,__export__.product_product_7218_4dec1970,"SKU: 8400547
Item: EUPHORBIA -Tirucalli - planta/24 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400605,PAPAVER - Pizzicato - flor,25,__export__.product_product_7361_e53cd5bd,"SKU: 8400605
Item: PAPAVER - Pizzicato - flor ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400605,PAPAVER - Pizzicato - flor,25,__export__.product_product_7361_e53cd5bd,"SKU: 8400605
Item: PAPAVER - Pizzicato - flor ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400589,MUGUET - planta/12,50,__export__.product_product_6917_470ba490,"SKU: 8400589
Item: MUGUET - planta/12 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400999,SCINDAPSUS EN COCOS - planta/28,6,__export__.product_product_7149_abcc70bb,"SKU: 8400999
Item: SCINDAPSUS EN COCOS - planta/28 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400518,RANUNCULUS - Butterfly - flor,60,__export__.product_product_7368_cf933e13,"SKU: 8400518
Item: RANUNCULUS - Butterfly - flor ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400518,RANUNCULUS - Butterfly - flor,60,__export__.product_product_7368_cf933e13,"SKU: 8400518
Item: RANUNCULUS - Butterfly - flor ",0
Holded albaran id: AC260368 Vendor ref:000128,128,AC260368,Gloria RETAIL,Gloria: Recepciones,13/01/2026,14/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400134,CHAMELACIUM - flor,73,__export__.product_product_7292_ae5ecd3b,"SKU: 8400134
Item: CHAMELACIUM - flor ",0
Holded albaran id: AC260368 Vendor ref:000128,128,AC260368,Gloria RETAIL,Gloria: Recepciones,13/01/2026,14/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400154,ALSTROEMERIA - flor,50,__export__.product_product_7269_87adae26,"SKU: 8400154
Item: ALSTROEMERIA - flor ",0
Holded albaran id: AC260368 Vendor ref:000128,128,AC260368,Gloria RETAIL,Gloria: Recepciones,13/01/2026,14/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400768,KALANCHOE MAGIC BELLS - planta,4,__export__.product_product_7073_1f0e262e,"SKU: 8400768
Item: KALANCHOE MAGIC BELLS - planta ",0
Holded albaran id: AC260368 Vendor ref:000128,128,AC260368,Gloria RETAIL,Gloria: Recepciones,13/01/2026,14/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001003,KALANCHOE OTHER - planta/23,6,__export__.product_product_7153_2862bc1a,"SKU: 84001003
Item: KALANCHOE OTHER - planta/23 ",0
Holded albaran id: AC260368 Vendor ref:000128,128,AC260368,Gloria RETAIL,Gloria: Recepciones,13/01/2026,14/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400013,CYMBIDIUM - tallo corto,10,__export__.product_product_7306_5e52248a,"SKU: 8400013
Item: CYMBIDIUM - tallo corto ",0
Holded albaran id: AC260368 Vendor ref:000128,128,AC260368,Gloria RETAIL,Gloria: Recepciones,13/01/2026,14/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001019,ARRENGEMENTEN KAMERPLANTEN - planta/67,2,__export__.product_product_7157_eafe4c6a,"SKU: 84001019
Item: ARRENGEMENTEN KAMERPLANTEN - planta/67 ",0
Holded albaran id: AC260368 Vendor ref:000128,128,AC260368,Gloria RETAIL,Gloria: Recepciones,13/01/2026,14/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001019,ARRENGEMENTEN KAMERPLANTEN - planta/67,2,__export__.product_product_7157_eafe4c6a,"SKU: 84001019
Item: ARRENGEMENTEN KAMERPLANTEN - planta/67 ",0
Holded albaran id: AC260368 Vendor ref:000128,128,AC260368,Gloria RETAIL,Gloria: Recepciones,13/01/2026,14/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400513,PHALAENOPSIS MIX - planta/22,8,__export__.product_product_6926_5233d675,"SKU: 8400513
Item: PHALAENOPSIS MIX - planta/22 ",0
Holded albaran id: AC260368 Vendor ref:000128,128,AC260368,Gloria RETAIL,Gloria: Recepciones,13/01/2026,14/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400622,SANSEVIERIA - Zarla - planta/25,12,__export__.product_product_7036_b23444e9,"SKU: 8400622
Item: SANSEVIERIA - Zarla - planta/25 ",0
Holded albaran id: AC260368 Vendor ref:000128,128,AC260368,Gloria RETAIL,Gloria: Recepciones,13/01/2026,14/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400775,SANSEVIERIA LAURETII - planta,6,__export__.product_product_7079_6344eeaa,"SKU: 8400775
Item: SANSEVIERIA LAURETII - planta ",0
Holded albaran id: AC260368 Vendor ref:000128,128,AC260368,Gloria RETAIL,Gloria: Recepciones,13/01/2026,14/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001020,ROSA LARGE HELENE - flor,80,__export__.product_product_7743_f3cc3ec7,"SKU: 84001020
Item: ROSA LARGE HELENE - flor ",0
Holded albaran id: AC260368 Vendor ref:000128,128,AC260368,Gloria RETAIL,Gloria: Recepciones,13/01/2026,14/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400847,SKIMMIA - ramo,30,__export__.product_product_7520_6d26112c,"SKU: 8400847
Item: SKIMMIA - ramo ",0
Holded albaran id: AC260368 Vendor ref:000128,128,AC260368,Gloria RETAIL,Gloria: Recepciones,13/01/2026,14/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001024,ANTHURIUM - planta/14,12,__export__.product_product_7159_5410a507,"SKU: 84001024
Item: ANTHURIUM - planta/14 ",0
Holded albaran id: AC260400 Vendor ref:000238-2,000238-2,AC260400,Gloria RETAIL,Gloria: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400010,CRISANTEMO RAMI- MIX -flor,25,__export__.product_product_7304_daaf5128,"SKU: 8400010
Item: CRISANTEMO RAMI- MIX -flor ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001029,DRACAENA LEMON,6,__export__.product_product_7160_9b37996a,"SKU: 84001029
Item: DRACAENA LEMON ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400010,CRISANTEMO RAMI- MIX -flor,50,__export__.product_product_7304_daaf5128,"SKU: 8400010
Item: CRISANTEMO RAMI- MIX -flor ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400154,ALSTROEMERIA - flor,50,__export__.product_product_7269_87adae26,"SKU: 8400154
Item: ALSTROEMERIA - flor ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001003,KALANCHOE OTHER - planta/23,6,__export__.product_product_7153_2862bc1a,"SKU: 84001003
Item: KALANCHOE OTHER - planta/23 ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400997,DRACENA SAND LUCKY BAMBOO - plants/38,6,__export__.product_product_7147_e3603200,"SKU: 8400997
Item: DRACENA SAND LUCKY BAMBOO - plants/38 ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400334,RANUNCULUS - MIX -flor,60,__export__.product_product_7366_b4b08e49,"SKU: 8400334
Item: RANUNCULUS - MIX -flor ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001030,PHILODENDRON OTHER - planta/12,12,__export__.product_product_7161_78d46a45,"SKU: 84001030
Item: PHILODENDRON OTHER - planta/12 ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400700,MONSTERA 7.5L - Adansoni - planta/67,3,__export__.product_product_7006_4fae393d,"SKU: 8400700
Item: MONSTERA 7.5L - Adansoni - planta/67 ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400086,RHIPSALIS T10 - planta /30,4,__export__.product_product_6872_d784e267,"SKU: 8400086
Item: RHIPSALIS T10 - planta /30 ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400086,RHIPSALIS T10 - planta /30,4,__export__.product_product_6872_d784e267,"SKU: 8400086
Item: RHIPSALIS T10 - planta /30 ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400334,RANUNCULUS - MIX -flor,60,__export__.product_product_7366_b4b08e49,"SKU: 8400334
Item: RANUNCULUS - MIX -flor ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400749,ROSA RED NAOMI  - flor,50,__export__.product_product_7696_06127775,"SKU: 8400749
Item: ROSA RED NAOMI  - flor ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400990,ROSA  PRETTY PILLOW AYANA - flor,50,__export__.product_product_7698_0d6573b1,"SKU: 8400990
Item: ROSA  PRETTY PILLOW AYANA - flor ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400895,RHIPSALIS MIX - T17 planta colganta,6,__export__.product_product_7061_eeb411fb,"SKU: 8400895
Item: RHIPSALIS MIX - T17 planta colganta ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001031,TULIPAN TRESOR - flor,48,__export__.product_product_7086_16996e8b,"SKU: 84001031
Item: TULIPAN TRESOR - flor ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001032,STROMANTHE SANGUINEA TRIOSTAR - planta/24,6,__export__.product_product_7162_5a4003c5,"SKU: 84001032
Item: STROMANTHE SANGUINEA TRIOSTAR - planta/24 ",0
Holded albaran id: AC260401 Vendor ref:000238,238,AC260401,Anec Blau RETAIL,Blau: Recepciones,19/01/2026,20/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400980,ROSA SPRAY KEIJSERS - flor,40,__export__.product_product_7742_1e370670,"SKU: 8400980
Item: ROSA SPRAY KEIJSERS - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400365,ARBOL DE JADE T25 -planta/120,1,__export__.product_product_7217_e69f333f,"SKU: 8400365
Item: ARBOL DE JADE T25 -planta/120 ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001038,NARCIS MASCOTA - planta  /17,8,__export__.product_product_7163_0bd75197,"SKU: 84001038
Item: NARCIS MASCOTA - planta  /17 ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400696,BUPLEURUM - Rotundifolia - flor,52,__export__.product_product_7533_0cec30ba,"SKU: 8400696
Item: BUPLEURUM - Rotundifolia - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400154,ALSTROEMERIA - flor,20,__export__.product_product_7269_87adae26,"SKU: 8400154
Item: ALSTROEMERIA - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001048,GREVILLEA SPIDERMAN - rama,30,__export__.product_product_7558_e858fc5f,"SKU: 84001048
Item: GREVILLEA SPIDERMAN - rama ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400202,GREVILLEA - MIX - rama,49,__export__.product_product_7457_c4d791f8,"SKU: 8400202
Item: GREVILLEA - MIX - rama ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400666,PEONIA - flor,30,__export__.product_product_7363_f62be7e6,"SKU: 8400666
Item: PEONIA - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400666,PEONIA - flor,30,__export__.product_product_7363_f62be7e6,"SKU: 8400666
Item: PEONIA - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400027,HORTENSIA NACIONAL - flor,10,__export__.product_product_7331_5888a0df,"SKU: 8400027
Item: HORTENSIA NACIONAL - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001039,ROSA GOLDEN LADY - flor,30,__export__.product_product_7746_91920b92,"SKU: 84001039
Item: ROSA GOLDEN LADY - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001040,ROSA FIRELIGHT - flor,31,__export__.product_product_7747_200c7db3,"SKU: 84001040
Item: ROSA FIRELIGHT - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001041,ROSA SAND DUNE - flor,12,__export__.product_product_7748_b30ed7ca,"SKU: 84001041
Item: ROSA SAND DUNE - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001042,ROSA MAYRAS ROSE - flor,12,__export__.product_product_7749_3127fb54,"SKU: 84001042
Item: ROSA MAYRAS ROSE - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001044,ROSA CELEBRATING HEATHER - flor,6,__export__.product_product_7751_e75967e4,"SKU: 84001044
Item: ROSA CELEBRATING HEATHER - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001046,ROSA MAI TAI - flor,30,__export__.product_product_7753_953606db,"SKU: 84001046
Item: ROSA MAI TAI - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400677,RS ROSA - Kahala - flor,30,__export__.product_product_7590_f11b7bb2,"SKU: 8400677
Item: RS ROSA - Kahala - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001047,RISA GRAVITY - flor,30,__export__.product_product_7754_d796375a,"SKU: 84001047
Item: RISA GRAVITY - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400399,RSR ROSA RAMI - MIX,40,__export__.product_product_7563_cb4e32f7,"SKU: 8400399
Item: RSR ROSA RAMI - MIX ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400990,ROSA  PRETTY PILLOW AYANA - flor,30,__export__.product_product_7698_0d6573b1,"SKU: 8400990
Item: ROSA  PRETTY PILLOW AYANA - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001031,TULIPAN TRESOR - flor,61,__export__.product_product_7086_16996e8b,"SKU: 84001031
Item: TULIPAN TRESOR - flor ",0
Holded albaran id: AC260414 Vendor ref:000358,358,AC260414,Gloria RETAIL,Gloria: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,84001031,TULIPAN TRESOR - flor,10,__export__.product_product_7086_16996e8b,"SKU: 84001031
Item: TULIPAN TRESOR - flor ",0
Holded albaran id: AC260415 Vendor ref:000358-2,000358-2,AC260415,Anec Blau RETAIL,Blau: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400532,PHALAENOPSIS - MINI - planta/18,12,__export__.product_product_6923_6a5bc3b6,"SKU: 8400532
Item: PHALAENOPSIS - MINI - planta/18 ",0
Holded albaran id: AC260415 Vendor ref:000358-2,000358-2,AC260415,Anec Blau RETAIL,Blau: Recepciones,26/01/2026,27/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400696,BUPLEURUM - Rotundifolia - flor,49,__export__.product_product_7533_0cec30ba,"SKU: 8400696
Item: BUPLEURUM - Rotundifolia - flor ",0
